Avg time,Semaphore,Simulation Type,Emergency Prob.,Pedestrian Prob.,Exit Rate
9,17,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
10,3,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
10,4,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
9,6,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
9,8,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
8,10,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
11,11,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
11,12,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
10,13,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
11,14,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
8,15,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
8,1,CONSENSUAL_AGENTS,0.025689147455850617,0.7796836679335684,4
